Company,No of weeks,Week,Q1,Q2,Q3,Q4
BDLAMPS,11,"[3, 5, 6, 8, 14, 23, 27, 34, 35, 38, 41]",5,2,3,1
BDTHAI,2,"[2, 33]",1,0,1,0
BDTHAIFOOD,6,"[6, 7, 10, 11, 38, 39]",4,0,2,0
BDWELDING,3,"[23, 25, 38]",0,2,1,0
BEACHHATCH,6,"[5, 7, 13, 14, 24, 28]",4,1,1,0
BEACONPHAR,8,"[14, 15, 17, 21, 32, 35, 37, 41]",1,3,3,1
BENGALWTL,4,"[2, 6, 23, 32]",2,1,1,0
BERGERPBL,4,"[8, 29, 32, 36]",1,0,3,0
BEXGSUKUK,2,"[24, 27]",0,2,0,0
BEXIMCO,4,"[4, 10, 13, 32]",3,0,1,0
BGIC,2,"[23, 42]",0,1,0,1
BIFC,4,"[12, 30, 32, 39]",1,0,3,0
BNICL,1,[14],1,0,0,0
BPML,8,"[2, 3, 5, 11, 13, 18, 36, 39]",5,1,2,0
BPPL,3,"[2, 36, 39]",1,0,2,0
BRACBANK,4,"[2, 24, 27, 32]",1,2,1,0
BSC,7,"[2, 3, 17, 32, 34, 36, 39]",2,1,4,0
BSCCL,5,"[12, 14, 17, 22, 35]",2,2,1,0
BSRMLTD,1,[4],1,0,0,0
BSRMSTEEL,2,"[4, 32]",1,0,1,0
BXPHARMA,6,"[23, 32, 34, 35, 37, 43]",0,1,4,1
CAPMBDBLMF,2,"[3, 24]",1,1,0,0
CAPMIBBLMF,3,"[12, 23, 24]",1,2,0,0
CBLPBOND,0,[],0,0,0,0
CENTRALINS,3,"[14, 18, 23]",1,2,0,0
CENTRALPHL,2,"[4, 35]",1,0,1,0
CITYBANK,2,"[23, 32]",0,1,1,0
CITYGENINS,2,"[23, 32]",0,1,1,0
CNATEX,1,[25],0,1,0,0
CONFIDCEM,3,"[6, 23, 36]",1,1,1,0
CONTININS,2,"[14, 23]",1,1,0,0
COPPERTECH,4,"[2, 25, 33, 36]",1,1,2,0
CROWNCEMNT,6,"[9, 13, 14, 17, 26, 27]",3,3,0,0
CRYSTALINS,3,"[14, 23, 36]",1,1,1,0
CVOPRL,3,"[2, 20, 38]",1,1,1,0
DACCADYE,4,"[20, 23, 32, 35]",0,2,2,0
DAFODILCOM,2,"[12, 13]",2,0,0,0
DBH,1,[18],0,1,0,0
DBH1STMF,0,[],0,0,0,0
DELTALIFE,3,"[13, 28, 32]",1,0,2,0
DELTASPINN,2,"[4, 28]",1,0,1,0
DESCO,1,[14],1,0,0,0
DESHBANDHU,1,[25],0,1,0,0
DGIC,4,"[14, 23, 36, 37]",1,1,2,0
DHAKABANK,0,[],0,0,0,0
DHAKAINS,4,"[14, 17, 23, 31]",1,2,1,0
DOMINAGE,1,[2],1,0,0,0
DOREENPWR,5,"[4, 6, 17, 32, 39]",2,1,2,0
DSHGARME,6,"[4, 7, 24, 34, 35, 38]",2,1,3,0
DSSL,3,"[2, 9, 23]",2,1,0,0
DULAMIACOT,4,"[10, 14, 24, 31]",2,1,1,0
DUTCHBANGL,3,"[2, 11, 32]",2,0,1,0
EASTERNINS,2,"[14, 23]",1,1,0,0
EASTLAND,2,"[17, 23]",0,2,0,0
EASTRNLUB,5,"[4, 23, 27, 41, 43]",1,2,0,2
EBL,1,[13],1,0,0,0
EBL1STMF,1,[24],0,1,0,0
EBLNRBMF,0,[],0,0,0,0
ECABLES,9,"[3, 7, 13, 25, 27, 28, 29, 32, 42]",3,2,3,1
EGEN,6,"[2, 12, 28, 32, 34, 38]",2,0,4,0
EHL,11,"[2, 4, 13, 17, 20, 23, 32, 35, 36, 40, 42]",3,3,4,1
EIL,2,"[14, 23]",1,1,0,0
EMERALDOIL,1,[40],0,0,1,0
ENVOYTEX,4,"[12, 18, 25, 31]",1,2,1,0
EPGL,4,"[2, 6, 27, 41]",2,1,0,1
ESQUIRENIT,5,"[4, 23, 27, 32, 34]",1,2,2,0
ETL,1,[2],1,0,0,0
EXIM1STMF,2,"[2, 12]",2,0,0,0
EXIMBANK,0,[],0,0,0,0
FAMILYTEX,0,[],0,0,0,0
FARCHEM,3,"[4, 7, 12]",3,0,0,0
FAREASTFIN,1,[32],0,0,1,0
FAREASTLIF,5,"[2, 3, 10, 23, 35]",3,1,1,0
FASFIN,1,[32],0,0,1,0
FBFIF,1,[12],1,0,0,0
FEDERALINS,1,[23],0,1,0,0
FEKDIL,1,[35],0,0,1,0
FINEFOODS,7,"[6, 12, 23, 26, 34, 37, 42]",2,2,2,1
FIRSTFIN,0,[],0,0,0,0
FIRSTSBANK,0,[],0,0,0,0
FORTUNE,5,"[2, 3, 8, 13, 14]",5,0,0,0
FUWANGCER,1,[2],1,0,0,0
FUWANGFOOD,4,"[2, 4, 23, 28]",2,1,1,0
GBBPOWER,3,"[2, 11, 36]",2,0,1,0
GEMINISEA,6,"[4, 13, 23, 34, 35, 41]",2,1,2,1
GENEXIL,3,"[8, 23, 28]",1,1,1,0
GENNEXT,1,[36],0,0,1,0
GHAIL,2,"[2, 22]",1,1,0,0
GHCL,3,"[2, 4, 32]",2,0,1,0
GLDNJMF,0,[],0,0,0,0
GLOBALINS,3,"[7, 14, 23]",2,1,0,0
GOLDENSON,0,[],0,0,0,0
GP,2,"[3, 32]",1,0,1,0
GPHISPAT,2,"[2, 36]",1,0,1,0
GQBALLPEN,3,"[12, 23, 35]",1,1,1,0
GRAMEENS2,0,[],0,0,0,0
GREENDELMF,1,[12],1,0,0,0
GREENDELT,3,"[14, 23, 36]",1,1,1,0
GSPFINANCE,0,[],0,0,0,0
HAKKANIPUL,3,"[8, 23, 25]",1,2,0,0
HEIDELBCEM,2,"[5, 7]",2,0,0,0
HFL,2,"[5, 27]",1,1,0,0
HRTEX,6,"[7, 8, 24, 25, 30, 31]",2,2,2,0
HWAWELLTEX,3,"[5, 32, 34]",1,0,2,0
IBNSINA,5,"[4, 6, 14, 34, 37]",3,0,2,0
IBP,3,"[2, 36, 42]",1,0,1,1
ICB,1,[5],1,0,0,0
ICB3RDNRB,0,[],0,0,0,0
ICBAGRANI1,2,"[13, 28]",1,0,1,0
ICBAMCL2ND,1,[12],1,0,0,0
ICBEPMF1S1,2,"[3, 12]",2,0,0,0
ICBIBANK,1,[23],0,1,0,0
ICBSONALI1,0,[],0,0,0,0
IDLC,0,[],0,0,0,0
IFADAUTOS,0,[],0,0,0,0
IFIC,0,[],0,0,0,0
IFIC1STMF,0,[],0,0,0,0
IFILISLMF1,1,[2],1,0,0,0
ILFSL,0,[],0,0,0,0
IMAMBUTTON,6,"[4, 10, 18, 23, 26, 27]",2,4,0,0
INDEXAGRO,4,"[18, 23, 32, 39]",0,2,2,0
INTECH,2,"[2, 34]",1,0,1,0
INTRACO,5,"[2, 12, 27, 28, 32]",2,1,2,0
IPDC,7,"[7, 14, 17, 23, 25, 34, 35]",2,3,2,0
ISLAMIBANK,1,[5],1,0,0,0
ISLAMICFIN,2,"[22, 32]",0,1,1,0
ISLAMIINS,2,"[14, 23]",1,1,0,0
ISNLTD,4,"[6, 26, 34, 42]",1,1,1,1
ITC,2,"[2, 3]",2,0,0,0
JAMUNABANK,1,[23],0,1,0,0
JAMUNAOIL,4,"[3, 7, 22, 25]",2,2,0,0
JANATAINS,2,"[14, 23]",1,1,0,0
JHRML,9,"[15, 16, 17, 18, 25, 32, 34, 38, 39]",0,5,4,0
JMISMDL,7,"[8, 23, 32, 34, 35, 38, 42]",1,1,4,1
JUTESPINN,5,"[7, 10, 23, 27, 38]",2,2,1,0
KARNAPHULI,2,"[14, 23]",1,1,0,0
KAY&QUE,3,"[17, 34, 41]",0,1,1,1
KBPPWBIL,2,"[25, 27]",0,2,0,0
KDSALTD,6,"[12, 25, 30, 32, 41, 43]",1,1,2,2
KEYACOSMET,0,[],0,0,0,0
KOHINOOR,8,"[5, 8, 18, 28, 32, 36, 37, 41]",2,1,4,1
KPCL,3,"[7, 13, 28]",2,0,1,0
KPPL,0,[],0,0,0,0
KTL,2,"[7, 31]",1,0,1,0
LANKABAFIN,1,[32],0,0,1,0
LEGACYFOOT,3,"[8, 23, 27]",1,2,0,0
LHBL,7,"[2, 13, 14, 32, 34, 36, 37]",3,0,4,0
LIBRAINFU,4,"[4, 6, 28, 35]",2,0,2,0
LINDEBD,3,"[3, 4, 12]",3,0,0,0
LOVELLO,4,"[2, 14, 17, 32]",2,1,1,0
LRBDL,4,"[2, 12, 23, 41]",2,1,0,1
LRGLOBMF1,0,[],0,0,0,0
MAKSONSPIN,4,"[2, 17, 25, 32]",1,2,1,0
MALEKSPIN,5,"[2, 5, 25, 32, 36]",2,1,2,0
MARICO,5,"[4, 6, 7, 27, 32]",3,1,1,0
MATINSPINN,5,"[2, 5, 17, 31, 34]",2,1,2,0
MBL1STMF,0,[],0,0,0,0
MEGCONMILK,4,"[2, 10, 25, 29]",2,1,1,0
MEGHNACEM,0,[],0,0,0,0
MEGHNAINS,3,"[25, 26, 27]",0,3,0,0
